OrgNr,Name,Email,Phone,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
5560501537,Vatthammars Elektriska AB,,+46243226120,,,,,,,
5560517061,Blomlöfs Utö AB,anna@alogard.se,+46850157510,,,,,,,
5560517236,Aktiebolaget Hjalmar Ohlssons Elektriska Byrå,ohlssonsel@virserum.com,+46706454686,,,,,,,
5560530668,Svensk Grundundersökning Aktiebolag,,,,,,,,,
5560532128,Kvidinge Entreprenad AB,dgbygg@live.se,+4643520274,,,,,,,
5560545401,Aktiebolaget Axel & Hartvig Nylander,,+46706360251,,,,,,,
5560567827,Aktiebolaget R. A.-Byggen,tord@rabyggen.se,+4644247600,,,,,,,
5560573908,Västkustens El Marin Aktiebolag,,+4631294579,Kreditinstitut,Övriga skulder till kreditinstitut,61714000,1798000,Övriga skulder till kreditinstitut,684000,84000
5560575135,ITRC Sverige AB,,,,,,,,,
5560576273,Aktiebolaget Artur Sjöberg Smide,,,,,,,,,
5560581778,Elektroarbeten i Saltsjöbaden Aktiebolag,info@elektroarbeten.se,,,,,,,,
5560582156,Ronnys Gräv och Mekaniska Aktiebolag,,+46155260069,,,,,,,
5560582982,Lars Sundström Aktiebolag,,+4624622400,,,,,,,
5560588039,Nils Börje Bygg Aktiebolag,nbbygg@telia.com,+4636370025,,,,,,,
5560595976,Westerberg & Pålsson Aktiebolag,info@wpplat.se,,,,,,,,
5560599721,Knut Olsson Fastigheter AB,info@knutolsson.se,+46850533072,,,,,,,
5560602343,Slutplattan HURGI 124531 AB,thomas.fridh@telia.com,+46708304494,,,,,,,
5560603572,Motor-Ola Maskiner Aktiebolag,marcus.lindberg@motor-ola.se,+46706455720,,,,,,,
5560604620,Söderbloms Isolering Aktiebolag,,,,,,,,,
5560608134,E. Cederholms Rör Aktiebolag,info@eltjanster.com,+4644350116,,,,,,,
5560608399,CATV Sweden AB,catv@catv-sweden.se,+4660514060,,,,,,,
5560608472,Smålands Heating AB,ewald@asedavarme.se,,,,,,,,
5560609504,Bertil Nilssons Elektriska Aktiebolag,info@bn-el.se,,,,,,,,
5560612581,KylClimat Tech KCT AB,info@kylclimat.se,+4619101040,,,,,,,
5560614264,Vimmerby Gräv & Schakt Aktiebolag,,+46706928257,,,,,,,
5560614959,Aktiebolaget Lennart Bengtssons Smides- & Reparationsverkstad,,+4641451235,Kreditinstitut,Övriga skulder till kreditinstitut,3,33365214,Övriga skulder till kreditinstitut,61881,127537
5560615493,Byggnads Aktiebolaget Bröderna Olsson,,,,,,,,,
5560620006,Eltel Networks TE AB,,,,,,,,,
5560624461,Lars Gustafsson i Lidköping Aktiebolag,butik@lidkoping.hemtex.se,+4651022686,,,,,,,
5560632464,L.W. Distribution Aktiebolag,lwfredrik@hotmail.com,,Kreditinstitut,Övriga skulder till kreditinstitut,,,,,
5560633686,Fastighetsaktiebolaget Andrén Andersson,uttern4@andrena.nu,+46855037559,,,,,,,
5560640582,Byggnadsaktiebolaget Eriksson & Rann,info@eriksson-rann.se,+4631402800,,,,,,,
5560642042,Winther Bygg Aktiebolag,,+4660153830,,,,,,,
5560642919,Mariefreds Elektrotjänst Aktiebolag,,+4615910526,,,,,,,
5560646563,Arnold Larsson Swedish Construction Aktiebolag,larssonfrank@gmail.com,+4613311560,,,,,,,
5560648049,EGP Industrigolv Aktiebolag,info@egp-industrigolv.se,+4648131490,,,,,,,
5560650656,Nyckelman Aktiebolag,butiken.stenungsund@safeteam.se,+4630383335,,,,,,,
5560653007,Trädgårdstjänst i Växjö Aktiebolag,stefan.baard@tradgardstjanstab.se,+4647015600,,,,,,,
5560654344,Lunds Glasmästeri Aktiebolag,lunds.glasmasteri@telia.com,+4646125363,,,,,,,
5560656216,UW-Construction Aktiebolag,kleinockero@gmail.com,,,,,,,,
5560658865,Elias Bygg Aktiebolag,info@elias-bygg.se,+4662010725,,,,,,,
5560659418,Alfa Clips Aktiebolag,,,Kreditinstitut,Övriga skulder till kreditinstitut,4168,0,Övriga skulder till kreditinstitut,143328,0
5560661240,Aktiebolaget Mora Mobillyft,info@mobillyft.se,+4625014270,,,,,,,
5560666389,A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,info@jonaeson.se,+4686405238,,,,,,,
5560666488,Tegeco AB,johan@idpeko.se,+4687717100,,,,,,,
5560671041,Valter Carlsson Handel och Måleri Aktiebolag,,+4630140764,,,,,,,
5560678574,Gerts Lås & Larm Aktiebolag,info@gertslas.se,,,,,,,,
5560679150,Waldmarks Entreprenad i Kungsbacka AB,mats@waldmarks.se,,,,,,,,
5560682493,Sandholms Färg & Golv AB,info@sandholms.se,+4649120862,Kreditinstitut,Övriga skulder till kreditinstitut,-35937,,Övriga skulder till kreditinstitut,-107797,
5560684044,Hallstaviks Transport Aktiebolag,,,,,,,,,
5560686676,Dragetgruppen Bygg AB,,,,,,,,,
5560692039,Stålice Coold AB,,+46705947696,,,,,,,
5560692609,Aktiebolaget Joel Fläcke,info@joelflacke.se,+468884044,,,,,,,
5560695396,Kungsbacka Schakt Aktiebolag,,+4630019070,,,,,,,
5560696485,SSM Byggservice Aktiebolag,,+4615210400,,,,,,,
5560699539,Bohusläns Kommunala Exploateringsaktiebolag,bokab@kungalv.se,,,,,,,,
5560701160,Dan Jonsons Elektriska Aktiebolag,lillaedet@elon.se,+46520650010,,,,,,,
5560708009,Thunholms Byggnads Aktiebolag,norrtalje.kokson@elon.se,+46176268155,,,,,,,
5560709346,Friska Fläktar Installation AB,info@friskaflaktar.se,,,,,,,,
5560717331,Ventilation & Smide i Kopparberg Aktiebolag,kjell@ventosmide.se,,,,,,,,
5560719915,Aktiebolaget Mora El-Byrå,info@moraelbyra.se,+46250619590,,,,,,,
5560720798,Wicklunds i Täby AB,wicklundsglas@spray.se,+4686460810,,,,,,,
5560721036,Sundströms Ventilations- & Energiprodukter Aktiebolag,info@suve.se,+4666361720,,,,,,,
5560723156,Mobilkranar Aktiebolag,Christer.edin@edinskranar.se,+468369600,,,,,,,
5560724394,Hornsplans Låsservice Aktiebolag,info@hornsplanslas.se,,,,,,,,
5560729294,Jacobssons Elektriska Aktiebolag,jonas.jacobel@telia.com,+46853040484,,,,,,,
5560732124,Tinkarp Invest AB,,,Kreditinstitut,Övriga skulder till kreditinstitut,5532000,5892000,Övriga skulder till kreditinstitut,120000,120000
5560732249,Njurunda Isolering Aktiebolag,njurunda.isoleringab@gmail.com,+4660553940,,,,,,,
5560734179,Aktiebolaget Bröderna Holsts Golvbeläggning,holst.golv@telia.com,+4638013778,,,,,,,
5560734658,Gamleby Röraktiebolag,,+4649310909,,,,,,,
5560736992,Aktiebolaget Deje Byggtjänst,greger@dejebygg.se,,,,,,,,
5560745423,Interflooring Company Aktiebolag,iigab@icloud.com,+46703392903,,,,,,,
5560745571,Färg & Co Måleri i Arvika AB,ola@farg-co.com,+4657010636,,,,,,,
5560747254,Älmhults Glasmästeri AB,almhultsglasmasteri@gmail.com,+4647610540,Kreditinstitut,Övriga skulder till kreditinstitut,583306,687118,Övriga skulder till kreditinstitut,121680,121680
5560750266,Förvaltningsaktiebolaget Kalmar Nyckel,,,,,,,,,
5560751090,Janssons Elektriska i Skinnskatteberg Aktiebolag,,+4622210460,,,,,,,
5560752148,Tord Svensson fastigheter AB,,,,,,,,,
5560752650,Lebam Brunnsborrning AB,info@lebam.se,+4615610235,,,,,,,
5560756800,AB Surahammars Elektriska,Info@surael.se,+4622030100,,,,,,,
5560758178,Elektrotjänst i Rimbo Aktiebolag,danne.mutzell@gmail.com,,,,,,,,
5560761180,Morgan Hjorths Elektriska Aktiebolag,info@hjorthselektriska.se,+46707473941,,,,,,,
5560763624,Svavlet 3 i Malmö AB,,,,,,,,,
5560765835,LMB Måleribolag i Linköping Aktiebolag,,+4613100477,,,,,,,
5560771536,M.B. Mark & Betong Aktiebolag,centralkontoret@markochbetong.se,+4649060073,,,,,,,
5560771700,Aktiebolaget Täckdikningar,tackdikningar@gmail.com,+46708161394,,,,,,,
5560774530,Aktiebolaget Kungslås,info@kungslas.se,+4686520400,,,,,,,
5560776816,Sustaining AB,kontakt@sustaining.se,,,,,,,,
5560780859,Åda Gods AB,michael@adagods.se,+46707541981,,,,,,,
5560780909,Idilator Förvaltning AB,,+46708448830,,,,,,,
5560784307,Hamu Glasmästeri Aktiebolag,hamuglas@telia.com,+4656310467,,,,,,,
5560785767,Byggnadsfirman Bengtsson & Söner Aktiebolag,,,,,,,,,
5560787045,Målerifirma Åke Borggren Aktiebolag,,,,,,,,,
5560788951,Eklinds i Vaggeryd Aktiebolag,,,,,,,,,
5560790635,Arne & B-M:s Gårdsförvaltning AB,,+4613137654,,,,,,,
5560792243,Närkes Rörlednings Aktiebolag,info@narkesror.se,+4619122602,,,,,,,
5560798299,Byggnadsaktiebolaget N.J. Andersson & Son,info@tegnanders.se,+4648015035,,,,,,,
5560801978,VIKAB Aktiebolag,vikab@drottningholms.se,+46704862040,Kreditinstitut,Övriga skulder till kreditinstitut,543950,0,Övriga skulder till kreditinstitut,151800,0
5560807439,BIAB Entreprenad AB,info@biabentreprenad.se,+46706937740,,,,,,,
5560808429,Mårdhs Plåtslageri Aktiebolag,,+4645710663,,,,,,,
5560808585,Rörbolaget i Smålandsstenar Aktiebolag,,+4637130815,,,,,,,
5560809955,Norrköpings Stenindustri Aktiebolag,info@stenindustri.se,+4611121380,,,,,,,
5560815077,Carlssons Glasmästeri i Sala Aktiebolag,carlssonsglasAB@gmail.com,+4622410729,,,,,,,
5560818592,Barkarby Elinstallationer Aktiebolag,anders@barkarbyelinstallationer.se,,,,,,,,
5560820382,J.H.S. Byggnadsaktiebolag,,+4621142350,,,,,,,
5560823782,Måleriaktiebolaget Gösta Andersson & Söner,tomas@anderssons-maleri.se,,Kreditinstitut,Övriga skulder till kreditinstitut,75483,125000,Övriga skulder till kreditinstitut,375000,375000
5560827650,Fjärås Bygg AB,,,,,,,,,
5560828203,S.A Gruppen i Alingsås AB,sagolv@sagolv.se,+46705736101,,,,,,,
5560828641,Strömslunds Elektriska Aktiebolag,,+4652013910,,,,,,,
5560830381,Aktiebolaget C.R. Malms Trädgårdsanläggningar,malms.tradgard@telia.com,,Kreditinstitut,Övriga skulder till kreditinstitut,2334996,2802079,Övriga skulder till kreditinstitut,460254,543394
5560832650,Sjölanders Kranlyft Aktiebolag,info@sjolanderskran.nu,+46858170155,Kreditinstitut,Övriga skulder till kreditinstitut,0268000,,Övriga skulder till kreditinstitut,268000,810183
5560832932,Aktiebolaget Årsta Plåtslageri,,,,,,,,,
5560834334,Andreas Henrikson Äventyr AB,,+4687672216,,,,,,,
5560834367,Aktiebolaget Mellanströms Schakt & Planering,,+46705436038,Kreditinstitut,Övriga skulder till kreditinstitut,64275076,3145974,Övriga skulder till kreditinstitut,2719457,2582177
5560838236,VVS-Huset Malmö Aktiebolag,,+46406513003,,,,,,,
5560841446,Traktorfirma Anders Segerlund Aktiebolag,,,Kreditinstitut,Övriga skulder till kreditinstitut,60,0,,,
5560843434,Loevaas Industriservice AB,,+4657120947,,,,,,,
5560844630,Folke Svensson Byggnads Aktiebolag,,,,,,,,,
5560844861,Matfors Installationsbyrå Aktiebolag,matfors-instbyra@glesband.nu,+466020130,,,,,,,
5560847112,Mariapark SOL AB,nico@mariaparkel.se,+46707265706,,,,,,,
5560851783,Gustafssons Glasmästeri i Oskarshamn Aktiebolag,andreas@gustafssonsglas.se,+4649110277,,,,,,,
5560852831,Bror Olsson & Söner i Kungsör Aktiebolag,,+4622731220,Kreditinstitut,Övriga skulder till kreditinstitut,102816714,4887460,Övriga skulder till kreditinstitut,101550244,2085545
5560853029,HML Haga Mölndal Gräv & Transport Aktiebolag,,,,,,,,,
5560854605,AB Berggrens Grävmaskiner,berggrens.schakt@telia.com,+4696010371,,,,,,,
5560867797,E. Wennersten Målerifirma Aktiebolag,wennersten.maleri@gmail.com,,,,,,,,
5560868894,Aktiebolaget Sjögareds Såg,http://www.sjogaredssag@telia.com,+4633287058,,,,,,,
5560871401,Byggnadsaktiebolaget Apelman & Son,info@apelman.se,+4652219327,,,,,,,
5560872722,"Central-Glasmästeriet, Holmberg & Johansson Aktiebolag",info@centralglas.com,+4616130683,,,,,,,
5560876368,J F Johanssons Golv Aktiebolag,,,,,,,,,
5560876418,Glimåkra Värme- & Sanitetstjänst Aktiebolag,,+464442249,,,,,,,
5560877382,SD-Hus Entreprenad Aktiebolag,sdhus@telia.com,+46705546770,,,,,,,
5560878976,HKM Bygg & Inredning AB,kontakt@hkmgruppen.com,,,,,,,,
5560880881,Olofssons Plåtslageri Aktiebolag,,+46708311281,Kreditinstitut,Övriga skulder till kreditinstitut,234624,255777,Övriga skulder till kreditinstitut,23076,23076
5560883604,Näslunds Väg Aktiebolag,goran@naslundsvag.se,+46738308166,,,,,,,
5560885237,Björkarp Fastigheter AB,gusstavsson-jan@spray.se,+46708961947,,,,,,,
5560886896,Molkoms Elektriska Aktiebolag,info@molkomselektriska.com,,,,,,,,
5560887555,Källsjö Elteknik AB,kallsjoelteknik@telia.com,+46705591120,,,,,,,
5560889361,Fastighets Aktiebolaget Långenäs,ulf.kidmark@telia.com,+4631881675,,,,,,,
5560893454,Solid-Elektro Aktiebolag,info@solid-elektro.se,+468197601,,,,,,,
5560894627,Värme & Sanitet Agne Palmér Aktiebolag,mattias@comfortvby.se,+4649215090,,,,,,,
5560895517,Vikens Elektriska Aktiebolag,info@vikenselektriska.se,+4642236722,,,,,,,
5560896101,Aktiebolaget Traktortjänst Tomas Kjellström,,+46708621206,,,,,,,
5560896143,Kalix Glasmästeri Aktiebolag,info@kalixglasmasteri.se,+4692377828,,,,,,,
5560900804,Rune Martinius Byggnadsaktiebolag,ch.rmbyggab@gmail.com,,,,,,,,
5560902735,Bergs Golv i Långsele Aktiebolag,info@bergsgolv.se,+4662020014,,,,,,,
5560902784,Aktiebolaget Göteborgs Golvläggarecentral,info@ggc.se,+4631500180,,,,,,,
5560903899,ML-EL i Skellefteå AB,Mattias@ml-el.se,+46706333172,,,,,,,
5560904657,Ivar Hedlunds Rörledningsfirma Aktiebolag,sandviken@bad-varme.se,+4626273075,,,,,,,
5560905514,Konsult Entreprenad Wiksberg Aktiebolag,info@berges.se,,,,,,,,
5560906736,JAANAB Måleri Aktiebolag,info@jaanab.se,+4631256110,,,,,,,
5560913500,Nordisk Kranuthyrning Aktiebolag,johan.akerberg@nordiskkranab.se,,Kreditinstitut,Övriga skulder till kreditinstitut,50900000,,Övriga skulder till kreditinstitut,50240000,
5560915463,Aktiebolaget Nävragöls Elaffär,,+4645591168,,,,,,,
5560916958,Lundblads Smide AB,micke@lundbladssmide.se,+46702262160,Kreditinstitut,Övriga skulder till kreditinstitut,093745,,,,
5560918384,Edmarks Rör Aktiebolag,,+4627121000,,,,,,,
5560918665,E.G. Gustavssons Glasmästeri Aktiebolag,gustavssons-glas@telia.com,+4622310383,,,,,,,
5560919044,Aktiebolaget Norje Fritidsområde,,,,,,,,,
5560920679,Byggnadsaktiebolaget J. Almqvist & Son,,+46705618290,,,,,,,
5560925272,Berth Landström Åkeri Aktiebolag,rolf@blaab.se,,,,,,,,
5560925371,Löfs Schakt Aktiebolag,,+46702220106,,,,,,,
5560926247,E Karlströms AB,,+46706940385,Kreditinstitut,Övriga skulder till kreditinstitut,3880662,5275062,Övriga skulder till kreditinstitut,1890240,2179071
5560931320,Malmö City El Aktiebolag,info@malmocityel.se,,,,,,,,
5560931411,Planeringsaktiebolaget S.E.S.,,+46313757500,Kreditinstitut,Övriga skulder till kreditinstitut,300000,425000,Övriga skulder till kreditinstitut,300000,300000
5560934340,Coala Aktiebolag,,+4650316115,,,,,,,
5560937087,Axelson & Söner Måleri- och Lackeringsverkstad Aktiebolag,,,,,,,,,
5560938374,Eklunds Vent o Plåt AB,info@eklundsvp.se,+46498770880,Kreditinstitut,Övriga skulder till kreditinstitut,1305182,1300000,,,
5560938705,Vännäs Mark Aktiebolag,,+46702981226,Kreditinstitut,Övriga skulder till kreditinstitut,3674949,3719126,Övriga skulder till kreditinstitut,1149039,1168994
5560947615,UNIT Arkitektur AB,info@unitark.se,+4631604160,,,,,,,
5560948522,Huddinge-Trångsunds Glasmästerier Aktiebolag,huddinge-trangsund@glasmasteri.se,+4687712130,,,,,,,
5560949504,Rikshem Pålsjö AB,info@wallenstam.se,+46424567737,,,,,,,
5560950064,Lex Sign Aktiebolag,info@lexsign.se,+46317060065,,,,,,,
5560950320,Möre Elektriska Aktiebolag,ebert@moreel.se,+46705407720,,,,,,,
5560953142,Haninge Lås AB,info@haningelas.se,+4687775560,,,,,,,
5560958729,Mittigården AB,,,Kreditinstitut,Skulder till kreditinstitut,1241310,1270179,Skulder till kreditinstitut,38,49238492
5560958869,Aktiebolaget Bresons Grävmaskiner,info@bresons.se,,,,,,,,
5560966912,Lape Montage Aktiebolag,,+4687742404,,,,,,,
5560968033,Lönnblads Maskin-Entreprenad AB,,,,,,,,,
5560968249,Elektriska Montagebyrån ingenjör Sven Andersson Aktiebolag,,,,,,,,,
5560957143,Stentulpanen Fastigheter i Kalmar & Öland AB,martin@saldoredo.se,,,,,,,,
5560972084,Rydgruppen Sverige AB,faktura-rgs@rydsglas.se,,,,,,,,
5560973744,Hasslerör Plåtslageri Aktiebolag,,+46501393705,,,,,,,
5560974767,Lundblads Golv AB,,,,,,,,,
5560975095,Hasse Malmströms El Aktiebolag,,+4640182838,,,,,,,
5560975905,Alex Grävmaskiner Aktiebolag,,+46705290805,Kreditinstitut,Övriga skulder till kreditinstitut,0834,177437,,,
5560986456,Elektrotekniska Belysningsbyrån i Norden AB,info@belysningsbyran.se,,,,,,,,
5560990193,TT-SA Åkeri AB,tobbe_r1@hotmail.com,,Kreditinstitut,Övriga skulder till kreditinstitut,998000,1277525,,,
5560992595,Vallentuna Glasmästeri Aktiebolag,kontakt@vallentunaglas.se,+46851170170,Kreditinstitut,Övriga skulder till kreditinstitut,71640000,1350000,Övriga skulder till kreditinstitut,120000,120000
5560992843,J.T. Plåt Aktiebolag,johan.rantanen@swipnet.se,+4645610466,,,,,,,
5560999483,Wilundia Kungälv AB,christer@wilundia.se,,,,,,,,
5561000323,Olle Svensson Bygg Aktiebolag,,+4645416565,,,,,,,
5561001446,Korpalycke Fastighets Aktiebolag,huskultur@hotmail.com,,,,,,,,
5561001503,Ejnar Erikssons Rör Aktiebolag,pontus@eeror.se,+4615751063,,,,,,,
5561003038,Thulins Elektriska Aktiebolag,,+4640511122,,,,,,,
5561003822,Målerifirma Bernhard Palm Aktiebolag,bernhardpalm@telia.com,+4611265180,,,,,,,
5561005447,Hansson Miljötransporter AB,info@hansson.se,,Kreditinstitut,Övriga skulder till kreditinstitut,2000000,0,Övriga skulder till kreditinstitut,40200,0
5561005827,Domnarvets Industrirenhållning Aktiebolag,,+4624310160,,,,,,,
5561006676,Aktiebolaget Lidingö Elektriska,info@lidingoelektriska.se,+4687650218,,,,,,,
5561007542,Bror Ericson Målerifirma i Göteborg Aktiebolag,,+4631222140,,,,,,,
5561011320,Nystedts Rörisoleringar AB,nystedts@rorisolering.se,+46704963040,,,,,,,
5561014548,Viktor Nilssons Grävmaskiner Aktiebolag,,,,,,,,,
5561020651,"Pers Hj, Andersson Aktiebolag",p-o@hja.se,,,,,,,,
5561022442,Tungel Invest Aktiebolag,,,,,,,,,
5561023200,Peter.J Elinstallationer AB,peter@pejoel.se,+46760030330,Kreditinstitut,Övriga skulder till kreditinstitut,0635692,,Övriga skulder till kreditinstitut,0364192,
5561025643,Entreprenör Aktiebolaget Sätra,satra@telia.com,+46705889402,,,,,,,
5561025742,Aktiebolaget Sävsjö Rörtjänst.,,+4638261531,,,,,,,
5561030734,Bertran Entreprenad Aktiebolag,beab_56@hotmail.com,+468389306,Kreditinstitut,Övriga skulder till kreditinstitut,1534886,2351918,Övriga skulder till kreditinstitut,817020,912996
5561031013,Äventyr på Österlen AB,stephan@tomelilla.nu,,,,,,,,
5561037689,L.E. Golv Aktiebolag,legolvab@gmail.com,+4622014060,,,,,,,
5561040535,Älvsbyn Åkerbär Fastigheter AB,info@alvsbyekonomi.se,,Kreditinstitut,och andra kreditinstitut samt kortfristiga likvida placeringar som är noterade på en marknadsplats och har,,,,,
5561044016,Byggnads Aktiebolaget Johan Nilsson & Son,gidebratt@telia.com,,,,,,,,
5561044636,Rörbyggarna i Stockholm AB,info@rorbyggarna.se,+4687547588,,,,,,,
5561045831,ByggFirma Yngve Johansson AB,bf-yngve.j@telia.com,+46706761047,,,,,,,
5561048819,Orust Elektriska Aktiebolag,henan@elon.se,+4630430174,,,,,,,
5561058255,Finspångs Byggnadsreparationer Aktiebolag,finspangsbyggrep@telia.com,,,,,,,,
5561059543,Fredrikssons Glas Aktiebolag,,,,,,,,,
5561063404,Tirefelt Fastighets AB,,,Kreditinstitut,Övriga skulder till kreditinstitut,3,404965842,Övriga skulder till kreditinstitut,44990,429295000
5561064980,Tenhults Rör Aktiebolag,,,,,,,,,
5561065359,Johannelunds Glasmästeri Aktiebolag,info@johannelundsglas.se,,,,,,,,
5561067421,Stig Carlssons Glasmästeri Aktiebolag,,+46702285466,,,,,,,
5561068858,Lassek Fastighets AB,lassehem@hotmail.com,,Kreditinstitut,Övriga skulder till kreditinstitut,312000,322000,Övriga skulder till kreditinstitut,056000,
5561070359,Familjen Byggare AB,info@familjenbyggare.se,+468222410,Kreditinstitut,Övriga skulder till kreditinstitut,1901729,2674745,Övriga skulder till kreditinstitut,773016,773016
5561072538,Glas-Larsson i Järfälla AB,glaslarsson@telia.com,,,,,,,,
5561074344,Sätermarks Entreprenad AB,janne@satermarks.se,,,,,,,,
5561077354,Rörtjänst i Fjälkinge Aktiebolag,rifab@telia.com,+464450400,Kreditinstitut,Övriga skulder till kreditinstitut,2277000,2409000,Övriga skulder till kreditinstitut,132000,132000
5561081497,Korrosionsteknik L.K. Aktiebolag,,,,,,,,,
5561082271,Örebro Elektrotel Aktiebolag,,+46706540321,,,,,,,
5561082560,LZ Holding AB,,,,,,,,,
5561084921,MP Tele AB,,+468896262,,,,,,,
5561087346,Bergners Färgcenter Aktiebolag,info@bergnersfarg.se,+4627070220,,,,,,,
5561087742,Conair Bygg & Luftbehandling Aktiebolag,info@conair.se,+46171474350,Kreditinstitut,Övriga skulder till kreditinstitut,681750,852750,Övriga skulder till kreditinstitut,123,00084050
5561089144,ELON i Vimmerby AB,,+4649214000,,,,,,,
5561090423,Storm byggteknik AB,rickard@stormbyggteknik.se,+46707722675,,,,,,,
5561094011,Tyresö Gräv- & Schaktentreprenad Aktiebolag,mikael@tgsab.se,+46708759171,,,,,,,
5561094292,Hälsö Kyla & Värme AB,peter.gjertz@telia.com,,,,,,,,
5561095430,Aktiebolaget Grupplarm,info@grupplarm.se,+4644103850,,,,,,,
5561095653,Martin Sandberg Trä & Bygg Aktiebolag,carinasandb@hotmail.com,+46851023435,,,,,,,
5561097238,Bredängs Plåtslageri Aktiebolag,ake.norell@bredangsplat.se,+468885337,Kreditinstitut,Övriga skulder till kreditinstitut,81852,126043,,,
5561099333,Gasservice i Stockholm AB,info@gasservice.nu,,,,,,,,
5561107201,Duritas Aktiebolag,conny@j-o-l.se,,,,,,,,
5561108621,Horndals Elektriska Aktiebolag,horndalsel@telia.com,+4622640120,,,,,,,
5561109207,K-Entreprenad VVS Aktiebolag,,+46141210032,,,,,,,
5561109348,Låsman Aktiebolag,info@lasman.se,+468840014,,,,,,,
5561110080,Vesam Aktiebolag,,+46150487300,,,,,,,
5561110312,Bogils Aktiebolag,,+4646144400,,,,,,,
5561110478,Aldato Service Aktiebolag,info@aldato.se,,,,,,,,
5561111690,Turex Rör Aktiebolag,info@turex.se,+4687155616,,,,,,,
5561119578,WEEKE ELEKTRISKA Aktiebolag,,,,,,,,,
5561121574,Egon Karlssons Rörfirma Aktiebolag,nicklas@egonsror.se,+4647720353,,,,,,,
5561127407,Ipsab Aktiebolag,faktura@ipstal.se,,,,,,,,
5561131995,Aktiebolaget Spårbyggnader,,,,,,,,,
5561134288,Siand i Nora AB,,,,,,,,,
